SPCD,common_name,taxon_name,species_name
11,Pacific silver fir,Abies amabilis,Abies amabilis
12,balsam fir,Abies balsamea,Abies balsamea
14,Santa Lucia or bristlecone fir,Abies bracteata,Abies bracteata
15,white fir,Abies concolor,Abies concolor
16,Fraser fir,Abies fraseri,Abies fraseri
17,grand fir,Abies grandis,Abies grandis
19,subalpine fir,Abies lasiocarpa,Abies lasiocarpa
18,corkbark fir,Abies lasiocarpa var. arizonica,Abies lasiocarpa
20,California red fir,Abies magnifica,Abies magnifica
22,noble fir,Abies procera,Abies procera
21,Shasta red fir,Abies shastensis,Abies shastensis
10,fir spp.,Abies spp.,Abies spp.
303,sweet acacia,Acacia farnesiana,Acacia farnesiana
304,catclaw acacia,Acacia greggii,Acacia greggii
300,acacia spp.,Acacia spp.,Acacia spp.
311,Florida maple,Acer barbatum,Acer barbatum
321,Rocky Mountain maple,Acer glabrum,Acer glabrum
322,bigtooth maple,Acer grandidentatum,Acer grandidentatum
323,chalk maple,Acer leucoderme,Acer leucoderme
312,bigleaf maple,Acer macrophyllum,Acer macrophyllum
313,boxelder,Acer negundo,Acer negundo
314,black maple,Acer nigrum,Acer nigrum
315,striped maple,Acer pensylvanicum,Acer pensylvanicum
320,Norway maple,Acer platanoides,Acer platanoides
316,red maple,Acer rubrum,Acer rubrum
317,silver maple,Acer saccharinum,Acer saccharinum
318,sugar maple,Acer saccharum,Acer saccharum
319,mountain maple,Acer spicatum,Acer spicatum
310,maple spp.,Acer spp.,Acer spp.
906,"Everglades palm, paurotis-palm",Acoelorrhaphe wrightii,Acoelorrhaphe wrightii
333,California buckeye,Aesculus californica,Aesculus californica
332,yellow buckeye,Aesculus flava,Aesculus flava
331,Ohio buckeye,Aesculus glabra,Aesculus glabra
334,Texas buckeye,Aesculus glabra var. arguta,Aesculus glabra
336,red buckeye,Aesculus pavia,Aesculus pavia
330,"buckeye, horsechestnut spp.",Aesculus spp.,Aesculus spp.
337,painted buckeye,Aesculus sylvatica,Aesculus sylvatica
341,ailanthus,Ailanthus altissima,Ailanthus altissima
345,"mimosa, silktree",Albizia julibrissin,Albizia julibrissin
355,European alder,Alnus glutinosa,Alnus glutinosa
353,Arizona alder,Alnus oblongifolia,Alnus oblongifolia
352,white alder,Alnus rhombifolia,Alnus rhombifolia
351,red alder,Alnus rubra,Alnus rubra
350,alder spp.,Alnus spp.,Alnus spp.
358,roundleaf serviceberry,Amelanchier  sanguinea,Amelanchier sanguinea
357,common serviceberry,Amelanchier arborea,Amelanchier arborea
356,serviceberry spp.,Amelanchier spp.,Amelanchier spp.
852,sea torchwood,Amyris elemifera,Amyris elemifera
